"Current Procedural Terminology (CPT) codes, descriptions and other data only are copyright 2025 American Medical Association. All rights reserved. 

CPT® is a registered trademark of the American Medical Association.

Applicable FARS/DFARS Restrictions Apply to Government Use. 

Fee schedules, relative value units, conversion factors and/or related components are not assigned by the AMA, are not part of CPT, and the AMA is not recommending their use.  The AMA does not directly or indirectly practice medicine or dispense medical services.  The AMA assumes no liability for the data contained or not contained herein.",,,
"HCPCS/
CPT Code",Practitioner Services MUE Values,MUE Adjudication Indicator,MUE Rationale
0158U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0159U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0160U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0161U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0162U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0163U,0,3 Date of Service Edit: Clinical,CMS Policy
0164T,4,2 Date of Service Edit: Policy,Anatomic Consideration
0164U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0165T,4,2 Date of Service Edit: Policy,Anatomic Consideration
0165U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0166U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0169U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0170U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0171U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0172U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0173U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0174T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0174U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0175T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0175U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0176U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0177U,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0178U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0179U,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0184T,1,3 Date of Service Edit: Clinical,Clinical: Data
0198T,2,2 Date of Service Edit: Policy,Anatomic Consideration
01996,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0200T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0201T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0202T,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0202U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0203U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0205U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0206U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0207T,2,2 Date of Service Edit: Policy,Anatomic Consideration
0207U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0208T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0209T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0209U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0210T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0210U,2,3 Date of Service Edit: Clinical,Nature of Analyte
0211T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0211U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0212T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0212U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0213T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0213U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0214T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0214U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0215T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0215U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0216T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0216U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0217T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0217U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0218T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0218U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0219T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0219U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0220T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0220U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0221T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0222T,1,3 Date of Service Edit: Clinical,Clinical: Data
